question,answer
ماذا يتم تدوينه على ورقة التبليغ؟,رقم الهوية الوطنية للمدعي والمدعى عليه
ما هي التكلفة المالية لطلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؟,خمسون ريالاً
ما هي العقوبة المقررة للشخص الذي علم بمشروع لتنفيذ جريمة إرهابية أو جريمة تمويل إرهاب ولم يبلغ السلطات المختصة مع تمكنه من الإبلاغ؟,السجن مدة لا تزيد على عشر سنوات
ما هي المعلومات التي يجب تسجيلها عن المرأة المرافقة للقائمين بتفتيش المسكن الذي ليس فيه إلا المرأة المتهمة؟,اسم المرأة المرافقة فقط
متى يتم تدوين إفادة المرأة المرافقة للقائمين بتفتيش المسكن في محضر التفتيش؟,في أي وقت خلال عملية التفتيش
ما هي الطرق التي يمكن من خلالها طرح العقارات البلدية للمنافسة العامة؟,الإعلان عن المنافسة العامة فقط
ما هي الشروط التي يجب مراعاتها في المنافسة العامة؟,الإعلان عن المنافسة في الموقع الإلكتروني للبلدية فقط
ماذا يحدث إذا رأت إحدى دوائر محكمة الاستئناف العدول عن مبدأ سبق أن أخذت به إحدى دوائر المحكمة العليا في قضايا سابقة؟,يتم تجاهل القضية وتحويلها إلى محكمة أخرى
من يعتبر من أعوان القضاء؟,من يعمل في الدائرة بشكل تطوعي
ما هو العمل المنصوص عليه نظاماً الذي يقوم به أعوان القضاء؟,العمل الذي يقوم به المحامي
من يجب عليه تعيين مكان في بلدة المحكمة التي يجري التحقيق في نطاق اختصاصها المكاني إذا لم يكن مقيمًا في تلك البلدة؟,الشاهد فقط
ماذا يحدث إذا لم يعين المجني عليه أو المدعي بالحق الخاص مكانًا في بلدة المحكمة؟,يتم تأجيل الإبلاغ حتى يعين مكانًا
متى يمكن للدائن مطالبة المدين في حالة كفالة الدين الحال؟,بعد مرور سنة
متى يمكن للدائن مطالبة الكفيل في حالة كفالة الدين الحال؟,بعد مرور سنة
من يتولى النظر في كامل إجراءات طلب الحجة؟,الشرطة
ماذا يجب على من ليس لديه رخصة بناء القيام به؟,الكتابة للنائب العام
في حالة نتجت عن بيع أصول التفليسة حصيلة تكفي للوفاء بمصروفات إجراء التصفية أو التصفية لصغار المدينين، كيف يتم توزيع الحصيلة؟,توزيع الحصيلة على الدائنين فقط.
من يحصل على الأولوية في توزيع حصيلة بيع أصول التفليسة؟,الدائنين وصغار المدينين بالتساوي.
متى يُجبَر المدين على تنفيذ التزامه تنفيذاً عينيّاً؟,قبل إعذاره وإذا كان ذلك غير ممكن
متى يجوز للمحكمة تقصير حق الدائن على اقتضاء التعويض؟,إذا كان في التنفيذ العيني إرهاقٌ للدائن ولا يلحق بالمدين ضرراً جسيماً
متى يبدأ موعد الاعتراض على الحكم؟,من تاريخ تقديم الاعتراض
ما هو الإجراء المتبع إذا كان المحكوم عليه سجيناً أو موقوفاً؟,يتم تسليم صورة صك الحكم إلى المحكوم عليه في السجن
متى يبدأ العمل بالنظام الجديد؟,بعد مائة يوم من تاريخ نشره
ماذا يحدث للأحكام التي تتعارض مع النظام الجديد؟,يتم تعديلها لتتوافق مع النظام الجديد
ماذا يحدث إذا قرر طالب اليمين تنازله عن الحضور؟,يتم تغريمه
في أي وثيقة يتم تدوين قرار طالب اليمين إذا قرر تنازله عن الحضور؟,في الدعوى القضائية
من يمكن أن يقدم توصية لتحديد الحالات التي يصعب تطبيق ضوابط الوحدة العقارية عليها؟,القاضي المشرف على القيد الثاني
ماذا يجب أن يتم في حالة الضرورة والاستعجال بخصوص الإجراءات المشار إليها في الفقرة (1) من هذه المادة؟,يتم الإبلاغ عن الإجراءات فقط بدون توضيح الأسباب ودواعي الاستعجال
ما هو النظام الذي يتم بموجبه تقديم ونظر الطعن بالتزوير على بيانات السجل العقاري؟,نظام المرافعات المدنية
على ماذا يتم تقديم الطعن بالتزوير في السياق المعطى؟,بيانات السجل التجاري
ما الذي يمكن اشتراطه بشأن الأجرة؟,تقليل الأجرة أو زيادتها
هل يمكن تقسيط الأجرة؟,يمكن تقسيط الأجرة فقط في حالات معينة
من يجب أن يكون مع القائمين بالتفتيش إذا كان في المسكن المراد تفتيشه المرأة المتهمة فقط؟,محامي
ما هو الشرط الذي يجب توافره للقائمين بالتفتيش في حالة كون المتهمة هي الوحيدة في المسكن المراد تفتيشه؟,يجب أن يكون معهم ضابط شرطة
ما الحق الذي يمتلكه المؤجر في حالة عدم استلام الأجرة المعجلة؟,يقوم بإنهاء العقد
